"trta","aesoc","aedecod","saffl","procedure","factor","measure","rowno","colno","cellpartno","unit","denominator"
"Placebo","_ALL_","_ALL_","Y","count","quantity",301,1,1,1,"_NULL_","_NULL_"
"Placebo","_ALL_","_ALL_","Y","countdistinct","USUBJID",69,1,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","_ALL_","Y","count","quantity",27,2,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","_ALL_","Y","countdistinct","USUBJID",13,2,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","ATRIAL FIBRILLATION","Y","count","quantity",1,3,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","ATRIAL FIBRILLATION","Y","countdistinct","USUBJID",1,3,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","ATRIAL HYPERTROPHY","Y","count","quantity",2,5,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","ATRIAL HYPERTROPHY","Y","countdistinct","USUBJID",1,5,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","ATRIOVENTRICULAR BLOCK FIRST DEGREE","Y","count","quantity",1,6,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","ATRIOVENTRICULAR BLOCK FIRST DEGREE","Y","countdistinct","USUBJID",1,6,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","ATRIOVENTRICULAR BLOCK SECOND DEGREE","Y","count","quantity",2,7,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","ATRIOVENTRICULAR BLOCK SECOND DEGREE","Y","countdistinct","USUBJID",2,7,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","BRADYCARDIA","Y","count","quantity",4,8,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","BRADYCARDIA","Y","countdistinct","USUBJID",1,8,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","BUNDLE BRANCH BLOCK LEFT","Y","count","quantity",1,9,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","BUNDLE BRANCH BLOCK LEFT","Y","countdistinct","USUBJID",1,9,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","BUNDLE BRANCH BLOCK RIGHT","Y","count","quantity",2,10,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","BUNDLE BRANCH BLOCK RIGHT","Y","countdistinct","USUBJID",1,10,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","CARDIAC FAILURE CONGESTIVE","Y","count","quantity",1,12,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","CARDIAC FAILURE CONGESTIVE","Y","countdistinct","USUBJID",1,12,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","MYOCARDIAL INFARCTION","Y","count","quantity",4,13,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","MYOCARDIAL INFARCTION","Y","countdistinct","USUBJID",4,13,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","SINUS ARRHYTHMIA","Y","count","quantity",2,15,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","SINUS ARRHYTHMIA","Y","countdistinct","USUBJID",1,15,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","SINUS BRADYCARDIA","Y","count","quantity",2,16,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","SINUS BRADYCARDIA","Y","countdistinct","USUBJID",2,16,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","SUPRAVENTRICULAR EXTRASYSTOLES","Y","count","quantity",2,17,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","SUPRAVENTRICULAR EXTRASYSTOLES","Y","countdistinct","USUBJID",1,17,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","TACHYCARDIA","Y","count","quantity",2,19,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","TACHYCARDIA","Y","countdistinct","USUBJID",1,19,1,2,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","VENTRICULAR HYPERTROPHY","Y","count","quantity",1,21,1,1,"_NULL_","_NULL_"
"Placebo","CARDIAC DISORDERS","VENTRICULAR HYPERTROPHY","Y","countdistinct","USUBJID",1,21,1,2,"_NULL_","_NULL_"
"Placebo","EAR AND LABYRINTH DISORDERS","_ALL_","Y","count","quantity",2,25,1,1,"_NULL_","_NULL_"
"Placebo","EAR AND LABYRINTH DISORDERS","_ALL_","Y","countdistinct","USUBJID",1,25,1,2,"_NULL_","_NULL_"
"Placebo","EAR AND LABYRINTH DISORDERS","EAR PAIN","Y","count","quantity",2,27,1,1,"_NULL_","_NULL_"
"Placebo","EAR AND LABYRINTH DISORDERS","EAR PAIN","Y","countdistinct","USUBJID",1,27,1,2,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","_ALL_","Y","count","quantity",8,30,1,1,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","_ALL_","Y","countdistinct","USUBJID",4,30,1,2,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","CONJUNCTIVITIS","Y","count","quantity",4,32,1,1,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","CONJUNCTIVITIS","Y","countdistinct","USUBJID",2,32,1,2,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","EYE ALLERGY","Y","count","quantity",1,33,1,1,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","EYE ALLERGY","Y","countdistinct","USUBJID",1,33,1,2,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","EYE PRURITUS","Y","count","quantity",1,34,1,1,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","EYE PRURITUS","Y","countdistinct","USUBJID",1,34,1,2,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","EYE SWELLING","Y","count","quantity",1,35,1,1,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","EYE SWELLING","Y","countdistinct","USUBJID",1,35,1,2,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","GLAUCOMA","Y","count","quantity",1,36,1,1,"_NULL_","_NULL_"
"Placebo","EYE DISORDERS","GLAUCOMA","Y","countdistinct","USUBJID",1,36,1,2,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","_ALL_","Y","count","quantity",26,38,1,1,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","_ALL_","Y","countdistinct","USUBJID",17,38,1,2,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","ABDOMINAL PAIN","Y","count","quantity",1,40,1,1,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","ABDOMINAL PAIN","Y","countdistinct","USUBJID",1,40,1,2,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","CONSTIPATION","Y","count","quantity",1,41,1,1,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","CONSTIPATION","Y","countdistinct","USUBJID",1,41,1,2,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","DIARRHOEA","Y","count","quantity",10,42,1,1,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","DIARRHOEA","Y","countdistinct","USUBJID",9,42,1,2,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","DYSPEPSIA","Y","count","quantity",2,43,1,1,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","DYSPEPSIA","Y","countdistinct","USUBJID",1,43,1,2,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","FLATULENCE","Y","count","quantity",2,45,1,1,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","FLATULENCE","Y","countdistinct","USUBJID",1,45,1,2,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","GASTROOESOPHAGEAL REFLUX DISEASE","Y","count","quantity",1,47,1,1,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","GASTROOESOPHAGEAL REFLUX DISEASE","Y","countdistinct","USUBJID",1,47,1,2,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","GLOSSITIS","Y","count","quantity",1,48,1,1,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","GLOSSITIS","Y","countdistinct","USUBJID",1,48,1,2,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","HIATUS HERNIA","Y","count","quantity",2,49,1,1,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","HIATUS HERNIA","Y","countdistinct","USUBJID",1,49,1,2,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","NAUSEA","Y","count","quantity",3,50,1,1,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","NAUSEA","Y","countdistinct","USUBJID",3,50,1,2,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","VOMITING","Y","count","quantity",3,54,1,1,"_NULL_","_NULL_"
"Placebo","GASTROINTESTINAL DISORDERS","VOMITING","Y","countdistinct","USUBJID",3,54,1,2,"_NULL_","_NULL_"
