"aedecod","recodeto"
"APPLICATION SITE ERYTHEMA","APPLICATION_SITE_ERYTHEMA"
"APPLICATION SITE PRURITUS","APPLICATION_SITE_PRURITUS"
"DIARRHOEA","DIARRHOEA"
"ERYTHEMA","ERYTHEMA"
"ATRIOVENTRICULAR BLOCK SECOND DEGREE","ATRIOVENTRICULAR_BLOCK_SECOND_DEGREE"
"FATIGUE","FATIGUE"
"HIATUS HERNIA","HIATUS_HERNIA"
"UPPER RESPIRATORY TRACT INFECTION","UPPER_RESPIRATORY_TRACT_INFECTION"
"BUNDLE BRANCH BLOCK LEFT","BUNDLE_BRANCH_BLOCK_LEFT"
"PRURITUS GENERALISED","PRURITUS_GENERALISED"
"APPLICATION SITE VESICLES","APPLICATION_SITE_VESICLES"
"PHARYNGOLARYNGEAL PAIN","PHARYNGOLARYNGEAL_PAIN"
"NASAL CONGESTION","NASAL_CONGESTION"
"PRURITUS","PRURITUS"
"LOCALISED INFECTION","LOCALISED_INFECTION"
"MICTURITION URGENCY","MICTURITION_URGENCY"
"ARTHRALGIA","ARTHRALGIA"
"CELLULITIS","CELLULITIS"
"APPLICATION SITE IRRITATION","APPLICATION_SITE_IRRITATION"
"APPLICATION SITE DERMATITIS","APPLICATION_SITE_DERMATITIS"
"COUGH","COUGH"
"URINARY TRACT INFECTION","URINARY_TRACT_INFECTION"
"PYREXIA","PYREXIA"
"EYE SWELLING","EYE_SWELLING"
"EYE ALLERGY","EYE_ALLERGY"
"EYE PRURITUS","EYE_PRURITUS"
"RASH","RASH"
"APPLICATION SITE PAIN","APPLICATION_SITE_PAIN"
"LOWER RESPIRATORY TRACT INFECTION","LOWER_RESPIRATORY_TRACT_INFECTION"
"FLANK PAIN","FLANK_PAIN"
"CALCULUS URETHRAL","CALCULUS_URETHRAL"
"EPISTAXIS","EPISTAXIS"
"DYSPEPSIA","DYSPEPSIA"
"DEPRESSED MOOD","DEPRESSED_MOOD"
